"month","Broad_tail_crash","Lower_tail_CIQ","Residual_coskewness"
"1968-01-01",-0.0358994860332923,0.0587463448721547,-0.0337513377135418
"1968-02-01",0.0100623568924084,0.0544382912707756,-0.0084557150124474
"1968-03-01",0.0201794782007889,-0.0122803565961695,-0.00698604886663769
"1968-04-01",0.00648662879141017,-0.0816323775687236,-0.00568246200959018
"1968-05-01",-0.0213021232712948,-0.0370753485510727,-0.0271200776240133
"1968-06-01",-0.0169847217600532,0.0671472827108132,0.0180326621983382
"1968-07-01",-0.0189570732604056,0.0528873653646863,-0.0037029966441525
"1968-08-01",-0.00841357281223906,-0.00438821128720921,-0.0277205332854387
"1968-09-01",-0.00278414980521019,-0.0348869787248301,-0.0182509290354971
"1968-10-01",-0.00681749585367195,0.0275481479753738,6.62086822817403e-05
"1968-11-01",0.000655295330189801,-0.0227603497546986,0.018306518237025
"1968-12-01",-0.0228175491800281,0.00149391811954558,0.0119189702365921
"1969-01-01",-0.00804299277393515,0.00466875589249729,0.00264102249822247
"1969-02-01",0.0159218578501527,0.0458452152945293,0.00369719509617593
"1969-03-01",0.00579062867847915,-0.00112316046954237,-0.0214239016102586
"1969-04-01",0.00099401977031366,-0.00761447025993162,-0.0100469279966556
"1969-05-01",-0.00643412872746344,0.0083710909054952,0.00231903654073019
"1969-06-01",0.0371944443432017,0.031566638028931,0.0182597226775957
"1969-07-01",0.0184060700368368,0.0514169850882327,0.0052121878034032
"1969-08-01",0.00902346681361966,-0.0444515409580779,-0.0122433281736123
"1969-09-01",0.00213817175764874,0.0102647819169507,-0.0105000020891252
"1969-10-01",-0.00668353449369305,-0.0326382610932746,0.00615513080300427
"1969-11-01",0.00208244780391134,0.0118802048599041,-0.00354065753539784
"1969-12-01",0.00402901643140652,0.0307468051013533,-0.0167286587281165
"1970-01-01",-0.0124321467876887,0.0530127924413406,-0.00700717176485732
"1970-02-01",-0.00305675531788917,0.0200214174650857,0.00186594391047296
"1970-03-01",0.00867007628631236,0.0558012127391642,-0.00956785438863472
"1970-04-01",0.0128221097070234,0.113575735944129,-0.0074767050993458
"1970-05-01",0.00450003670376246,0.0489732932721854,0.0131776595862684
"1970-06-01",-0.0147404295745747,0.0710731644612971,-0.0170228858316371
"1970-07-01",-0.00120702780481027,0.00989273546328549,0.0187748188132116
"1970-08-01",0.00542271637565566,-0.0406283142928247,0.0165365144638351
