"month","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
1968-01-01,-0.0463893319083457,0.04264409100659,0.00176425230960514,-0.033137061343093,0.00832875559482415,0.00342380651966108,0.0165438721316435,-0.000437665240127162,-0.00245542568822146,0.00169022112610416
1968-02-01,0.0116414815842761,0.0430972511622461,0.0266222161766096,-0.0154465453000929,0.00102386774884668,-0.0105860641793243,-0.00584711983303928,-0.00454069657017537,0.00434091048305851,0.00133368743047658
1968-03-01,0.0238969273160571,-0.0117473384581257,-0.00530249933543906,-0.00313508039859786,0.0097950450180167,0.0051725534431423,-0.00446648539964666,-0.00136665341623963,0.0030282938414651,0.0013675024991243
1968-04-01,0.0115134816640765,-0.0679137629909136,-0.0449102134268355,0.00601248293643674,0.00226025727419954,0.0134310770008093,0.00716623311515362,0.00555858943862118,-0.000857590756103704,0.00112151154994675
1968-05-01,-0.0228745476024443,-0.0374416246675452,-0.0411664816116781,-0.0146593234434149,0.0191315864544285,0.00922484721847758,0.011604863874333,-0.00213395785722833,0.00397383222424088,0.00562160053843823
1968-06-01,-0.0217306625816612,0.0524259231173825,0.00744848225091831,0.00808209817085513,-3.4165995799936e-06,-0.00335067724181021,-0.00130901392139707,0.00432674263520596,0.00781629041799066,0.00674785274067867
1968-07-01,-0.0187123462426962,0.0414745346935625,-0.00755430455977915,-0.00827167730056327,-0.000516836798532744,-0.00638884005373204,0.0122909326068457,0.00239405652508263,0.00328979941544301,0.00727490272255822
1968-08-01,-0.00764147233430528,-0.00745568563916023,-0.0200461280821002,-0.0189831423936478,0.00048153678208558,0.00572063531815498,0.0082436558148148,-0.00130162513477951,0.00153563544098945,0.00736520357541455
1968-09-01,-0.00112382152091142,-0.0287246985486651,-0.0121333295944749,-0.0106854195111441,-0.0101729731537792,0.00313075493894231,0.00197877122580318,0.00494056424252951,-0.00228600926824589,-0.000294013928040081
1968-10-01,-0.0102550762124084,0.0220035955091463,0.0187469434369987,-0.00360723430341641,-0.013103040811985,-0.00168758869822943,-0.00409073636455427,-0.000132293340893412,0.00414880423694295,0.000558496445021235
1968-11-01,0.00227799971071992,-0.0174966967957589,-0.0102250067072428,0.0203471744217988,-0.00558438658697105,0.00163161983606908,0.0023054408798718,-0.000102960096101906,-1.9931831726035e-05,0.00659643626344723
1968-12-01,-0.0293438192690383,-0.00164933120837346,-0.00799958426142,0.010462412345482,0.00364370220187452,0.00203560534526656,0.0024367358573769,0.00710251672955681,0.00359446950845224,0.000443619053649243
1969-01-01,-0.010829662101439,0.00219027911316735,0.00472442547440825,0.000226839440727289,0.00365911515894287,-0.000651835649604532,0.00245627246069255,0.00192577928409692,0.00594213675075199,-0.0036328471800027
1969-02-01,0.0163905024300915,0.0376319523347338,0.0169438842924765,-0.00307388565449241,0.0104917379276842,0.00109902690202689,-0.00374161850011018,-0.00271659010270411,0.00390170186987761,-0.00445640823271366
1969-03-01,0.0100599288343074,-0.00291676298454299,-0.0394387855566348,-0.0162772969632935,0.0150567832318678,0.00803854990507191,-0.00206525945310207,0.00138783749387626,-0.00278142562700577,-0.000451865174351996
